loc,folio,line_order,tokens,neutral_roles,pass20_tier,tier_simple,pass16h_final_status,module_short,semantic_function,meta_I,meta_L,meta_H,line_marker_family,functional_gloss_sequence,functional_pseudotranslation,external_translation_status
"f58v.9,+P0",f58v,1510,salal qolaiin chockhey tcholy qokaiin qokaiinos orcheey olaly,R06 H07 R00 R06 H08 H08 R00 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,ARG/FILL OP/HEAD ARG/FILL ARG/FILL FUNC-PARTICLE OP/HEAD ARG/FILL ARG/FILL,ARG/FILL / OP/HEAD / ARG/FILL / ARG/FILL / FUNC-PARTICLE / OP/HEAD / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.10,+P0",f58v,1511,ykair shey key ctholy qotalom qokals qokaiin okal okaldy ory,R06 R06 R06 R04 H13 H08 H08 R07 R00 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,S,A,3,paragraph_continuation,ARG/FILL FUNC-PARTICLE ARG/FILL QUAL/TAIL OP/HEAD OP/HEAD FUNC-PARTICLE FUNC-PARTICLE ARG/FILL ARG/FILL,ARG/FILL / FUNC-PARTICLE / ARG/FILL / QUAL/TAIL / OP/HEAD / OP/HEAD / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.12,+P0",f58v,1513,oreeey cheekey cheal qokey chedal dy tolair opchey poaly cfhy,R00 R00 R00 H08 R00 R02 R06 R00 R06 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,ARG/FILL ARG/FILL ARG/FILL FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL ARG/FILL ARG/FILL ARG/FILL,ARG/FILL / ARG/FILL / ARG/FILL / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG/FILL / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.14,+P0",f58v,1515,shar air alo chol oeear sho qotal chol talar tar aropam,R06 R00 R00 R07 R00 R06 H13 R07 R06 R06 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,ARG/FILL ARG/FILL ARG/FILL FUNC-PARTICLE ARG/FILL ARG/FILL OP/HEAD FUNC-PARTICLE ARG/FILL ARG/FILL ARG/FILL,ARG/FILL / ARG/FILL / ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG/FILL / OP/HEAD / FUNC-PARTICLE / ARG/FILL / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.15,+P0",f58v,1516,qotoiin okal aral s air qoal talchos okal cho ytam dam,H13 R07 R00 R06 R00 H07 R00 R07 R00 R06 R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,OP/HEAD FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL OP/HEAD ARG/FILL FUNC-PARTICLE ARG/FILL ARG/FILL FUNC-PARTICLE,OP/HEAD / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL / OP/HEAD / ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG/FILL / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.18,+P0",f58v,1519,taiin chal sheal qockhy dar aiin ockhey qokeey qoaiin aral,R06 R00 R06 H07 R06 R06 R00 H08 H07 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,ARG/FILL ARG/FILL ARG-LEX OP/HEAD FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE OP/HEAD ARG/FILL,ARG/FILL / ARG/FILL / ARG-LEX / OP/HEAD / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / OP/HEAD / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.19,+P0",f58v,1520,okain chokal sheoldy qokor olkam cheol dar chokeey okalchy,R10 R00 R00 H08 R00 R00 R06 R00 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,FUNC-PARTICLE ARG/FILL ARG/FILL OP/HEAD ARG/FILL FUNC-PARTICLE FUNC-PARTICLE ARG/FILL ARG/FILL,FUNC-PARTICLE / ARG/FILL / ARG/FILL / OP/HEAD / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.22,+Pc",f58v,1523,okar sheey shekealy,R03 R06 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE ARG/FILL,FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.23,*P0",f58v,1524,pchshy sheoltey shopalchedy sheolkeal qokar aldaiin qokalar dal,R06 R00 R00 R00 R03 R10 H08 R09,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,section/paragraph_break_start,ARG/FILL ARG/FILL ARG/FILL ARG/FILL FUNC-PARTICLE QUAL/TAIL OP/HEAD FUNC-PARTICLE,ARG/FILL / ARG/FILL / ARG/FILL / ARG/FILL / FUNC-PARTICLE / QUAL/TAIL / OP/HEAD / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.25,+P0",f58v,1526,qotain okeor sheey qokeol okeoly qokaly qokairortas ykal,H13 R00 R06 H08 R00 H08 H08 R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,FUNC-PARTICLE ARG/FILL FUNC-PARTICLE OP/HEAD ARG/FILL OP/HEAD OP/HEAD ARG/FILL,FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / OP/HEAD / ARG/FILL / OP/HEAD / OP/HEAD / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.28,+P0",f58v,1529,ycheockhy okey okal otaly okaldy okeor sheey,R00 R00 R07 R00 R00 R00 R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,ARG/FILL ARG/FILL FUNC-PARTICLE LABEL-LEX ARG/FILL ARG/FILL FUNC-PARTICLE,ARG/FILL / ARG/FILL / FUNC-PARTICLE / LABEL-LEX / ARG/FILL / ARG/FILL / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.31,+P0",f58v,1532,tcheor chor kar okal qokeey qokal shol qokain ar oetalchg,R06 R11 R06 R07 H08 H08 R08 H08 R06 R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,S,A,3,paragraph_continuation,ARG/FILL LABEL-LEX ARG/FILL FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE ARG/FILL,ARG/FILL / LABEL-LEX / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.35,+P0",f58v,1536,daiin otain okain chey okeey qokeeos olar sheo daly dalychs,R10 R00 R10 R06 R06 H08 R00 R06 R09 R09,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE OP/HEAD ARG/FILL ARG-LEX QUAL/TAIL QUAL/TAIL,FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / OP/HEAD / ARG/FILL / ARG-LEX / QUAL/TAIL / QUAL/TAIL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.38,+P0",f58v,1539,ykeeody qokar qoky keey qokol okal okor cheky sydy,R00 R03 H01 R06 H08 R07 R00 R06 R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,S,A,3,paragraph_continuation,ARG/FILL FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL,ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f58v.39,+P0",f58v,1540,oshar qokain okam shear ch sarols,R00 H08 R00 R06 R00 R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,S,A,3,paragraph_continuation,ARG/FILL FUNC-PARTICLE ARG/FILL ARG-LEX ARG/FILL ARG/FILL,ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG-LEX / ARG/FILL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.1,@L0",f66r,1548,rary,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,label_or_marginal,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.2,+L0",f66r,1549,als,R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.4,+L0",f66r,1551,dary,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.5,+L0",f66r,1552,ykeol,R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.6,+L0",f66r,1553,saly,R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.7,+L0",f66r,1554,salf,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.8,+L0",f66r,1555,fary,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.10,+L0",f66r,1557,ykaly,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.11,+L0",f66r,1558,doly,R06,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.12,+L0",f66r,1559,saiin,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,FUNC-PARTICLE,FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.15,+L0",f66r,1562,raral,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.16,@L0",f66r,1563,y,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,label_or_marginal,FUNC-PARTICLE,FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.17,+L0",f66r,1564,o,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.18,+L0",f66r,1565,s,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,FUNC-PARTICLE,FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.19,+L0",f66r,1566,sh,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.20,+L0",f66r,1567,y,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,FUNC-PARTICLE,FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.21,+L0",f66r,1568,d,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.22,+L0",f66r,1569,o,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.23,+L0",f66r,1570,f,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.25,+L0",f66r,1571,x,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.26,+L0",f66r,1572,air,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.27,+L0",f66r,1573,d,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.28,+L0",f66r,1574,sh,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.29,+L0",f66r,1575,y,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,FUNC-PARTICLE,FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.30,+L0",f66r,1576,f,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.31,+L0",f66r,1577,f,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.32,+L0",f66r,1578,y,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,FUNC-PARTICLE,FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.33,+L0",f66r,1579,o,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.34,+L0",f66r,1580,d,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.35,+L0",f66r,1581,s,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,FUNC-PARTICLE,FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.36,+L0",f66r,1582,f,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.37,+L0",f66r,1583,c,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.39,+L0",f66r,1584,x,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.40,+L0",f66r,1585,t,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.41,+L0",f66r,1586,o,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.43,+L0",f66r,1587,l,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,FUNC-PARTICLE,FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.44,+L0",f66r,1588,r,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.45,+L0",f66r,1589,t,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.46,+L0",f66r,1590,o,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.47,+L0",f66r,1591,x,R00,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.48,+L0",f66r,1592,p,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-FIELD,LABEL-FIELD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.49,+L0",f66r,1593,d,R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G3C_NONFRAME_SHORTFORM_HP,G3C,compact label / index / list entry,T,B,5,+L,LABEL-LEX,LABEL-LEX,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.51,+P0",f66r,1595,sair shekey qokeedar okal okedy qokeedy qokal okedy qokshd,R06 R06 H08 R07 R00 H01 H08 R00 H08,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G1_GLOBAL_FRAME,G1,relational frame / record line,T,B,5,paragraph_continuation,ARG/FILL ARG/FILL OP/HEAD FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE FUNC-PARTICLE OP/HEAD,ARG/FILL / ARG/FILL / OP/HEAD / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / FUNC-PARTICLE / OP/HEAD,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.54,+P0",f66r,1598,qokeeody qokeody qokeody qokar sheky qokeeody okedy kodary,H11 H11 H11 R03 R06 H11 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,T,B,5,paragraph_continuation,OP/HEAD OPERATOR OPERATOR FUNC-PARTICLE ARG/FILL OP/HEAD FUNC-PARTICLE ARG/FILL,OP/HEAD / OPERATOR / OPERATOR / FUNC-PARTICLE / ARG/FILL / OP/HEAD / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.55,+P0",f66r,1599,ykeeody choekeey okeody chekeody qokeey dyky chctho rotaiin,R00 R00 R00 R00 H08 R06 R04 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,T,B,5,paragraph_continuation,ARG/FILL ARG/FILL ARG/FILL ARG/FILL FUNC-PARTICLE ARG/FILL QUAL/TAIL ARG/FILL,ARG/FILL / ARG/FILL / ARG/FILL / ARG/FILL / FUNC-PARTICLE / ARG/FILL / QUAL/TAIL / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.61,+P0",f66r,1605,qokchey qokaiir cheky daly daiin dalshedy chedy lkar ol okedy,H08 H08 R06 R09 R10 R09 R02 R00 R06 R00,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,S2,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,T,B,5,paragraph_continuation,OP/HEAD OP/HEAD FUNC-PARTICLE QUAL/TAIL FUNC-PARTICLE QUAL/TAIL FUNC-PARTICLE ARG/FILL FUNC-PARTICLE FUNC-PARTICLE,OP/HEAD / OP/HEAD / FUNC-PARTICLE / QUAL/TAIL / FUNC-PARTICLE / QUAL/TAIL / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.67,+P0",f66r,1611,psheody cfhol shofol okeody qokaldy ytarody shedy shedy dair,R00 R00 R06 R00 H11 R00 R06 R06 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,T,B,5,paragraph_continuation,ARG/FILL ARG/FILL ARG/FILL ARG/FILL OP/HEAD ARG/FILL FUNC-PARTICLE FUNC-PARTICLE ARG/FILL,ARG/FILL / ARG/FILL / ARG/FILL / ARG/FILL / OP/HEAD / ARG/FILL / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL,NO_VERIFIED_EXTERNAL_TRANSLATION
"f66r.69,+P0",f66r,1613,tosheo qokaldy oky ol kcheeky qoky dary okees oly,R06 H11 R00 R06 R00 H01 R06 R00 R06,S1_MULTI_TRANSCRIPTION_STRICT_CORE,S1,FORMAL_G2_CORE_LOCAL_KERNEL,G2,zone-local kernel / record line,T,B,5,paragraph_continuation,ARG/FILL OP/HEAD FUNC-PARTICLE FUNC-PARTICLE ARG/FILL FUNC-PARTICLE ARG/FILL ARG/FILL FUNC-PARTICLE,ARG/FILL / OP/HEAD / FUNC-PARTICLE / FUNC-PARTICLE / ARG/FILL / FUNC-PARTICLE / ARG/FILL / ARG/FILL / FUNC-PARTICLE,NO_VERIFIED_EXTERNAL_TRANSLATION
